Autor;Sprecher;Titel;Orginaldatei;Datei;Start;End;Length;Size;Translated0;OriginalText;Action;Sort1
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 001.mp3;Daniel Kehlmann - Tyll - 001 (04698-04763).mp3;4698;4763;65;27586;es war ein samstag;es war ein samstag;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 001.mp3;Daniel Kehlmann - Tyll - 001 (04771-04846).mp3;4771;4846;75;31765;und seit kurzem auch frühling;und seit kurzem auch frühling;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 001.mp3;Daniel Kehlmann - Tyll - 001 (04848-04933).mp3;4848;4933;85;35945;der bach schwoll vom schmelzwasser an;der bach schwoll vom schmelzwasser an;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 001.mp3;Daniel Kehlmann - Tyll - 001 (04936-05106).mp3;4936;5106;170;71472;und auf den feldern die gerade nicht brachlagen hatten wir die saat ausgebracht;und auf den feldern die gerade nicht brachlagen hatten wir die saat ausgebracht;train7;10000
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 001.mp3;Daniel Kehlmann - Tyll - 001 (05107-05314).mp3;5107;5314;207;86936;auf dem wagen war ein zelt aus rotem segeltuch aufgeschlagen;auf dem wagen war ein zelt aus rotem segeltuch aufgeschlagen;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 001.mp3;Daniel Kehlmann - Tyll - 001 (05338-05415).mp3;5338;5415;77;32601;davor kauerte eine alte frau;davor kauerte eine alte frau;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 001.mp3;Daniel Kehlmann - Tyll - 001 (05438-05520).mp3;5438;5520;82;34691;ihr körper sah wie ein beutel aus;ihr körper sah wie ein beutel aus;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 001.mp3;Daniel Kehlmann - Tyll - 001 (05544-05650).mp3;5544;5650;106;44722;ihr gesicht wie aus leder ihr augenpaar;ihr gesicht wie aus leder ihr augenpaar;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 001.mp3;Daniel Kehlmann - Tyll - 001 (05649-05714).mp3;5649;5714;65;27586;wie winzige schwarze knöpfe;wie winzige schwarze knöpfe;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 001.mp3;Daniel Kehlmann - Tyll - 001 (05738-05868).mp3;5738;5868;130;54753;eine jüngere frau mit sommersprossen und dunklem haar stand hinter ihr;eine jüngere frau mit sommersprossen und dunklem haar stand hinter ihr;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 001.mp3;Daniel Kehlmann - Tyll - 001 (05899-05969).mp3;5899;5969;70;29676;auf dem kutschbock aber;auf dem kutschbock aber;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 001.mp3;Daniel Kehlmann - Tyll - 001 (05978-06337).mp3;5978;6337;359;150466;saß ein mann den wir erkannten obgleich er noch nie hier gewesen war und als die ersten sich erinnerten und seinen namen riefen erinnerten sich auch andere;saß ein mann den wir erkannten obgleich er noch nie hier gewesen war und als die ersten sich erinnerten und seinen namen riefen erinnerten sich auch andere;train7;100000
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 001.mp3;Daniel Kehlmann - Tyll - 001 (06336-06461).mp3;6336;6461;125;52663;und so rief es bald von überall und mit vielen stimmen;und so rief es bald von überall und mit vielen stimmen;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 001.mp3;Daniel Kehlmann - Tyll - 001 (06467-06695).mp3;6467;6695;221;93625;till ist hier till ist gekommen schaut der till ist da;till ist hier till ist gekommen schaut der till ist da;translate;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 001.mp3;Daniel Kehlmann - Tyll - 001 (06734-06799).mp3;6734;6799;65;27586;es konnte kein anderer sein;es konnte kein anderer sein;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 001.mp3;Daniel Kehlmann - Tyll - 001 (06806-06886).mp3;6806;6886;80;33855;sogar zu uns kamen flugschriften;sogar zu uns kamen flugschriften;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 001.mp3;Daniel Kehlmann - Tyll - 001 (06911-07068).mp3;6911;7068;157;66038;sie kamen durch den wald der wind trug sie mit sich händler brachten sie;sie kamen durch den wald der wind trug sie mit sich händler brachten sie;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 001.mp3;Daniel Kehlmann - Tyll - 001 (07078-07226).mp3;7078;7226;148;62276;draußen in der welt wurden mehr davon gedruckt als irgendwer zählen konnte;draußen in der welt wurden mehr davon gedruckt als irgendwer zählen konnte;train7;101
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 001.mp3;Daniel Kehlmann - Tyll - 001 (07267-07406).mp3;7267;7406;139;58515;sie handelten vom schiff der narren und von der großen pfaffentorheit;sie handelten vom schiff der narren und von der großen pfaffentorheit;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 001.mp3;Daniel Kehlmann - Tyll - 001 (07423-07619).mp3;7423;7619;196;82338;und vom bösen papst in rom und vom teuflischen martinus luther zu wittenberg;und vom bösen papst in rom und vom teuflischen martinus luther zu wittenberg;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 001.mp3;Daniel Kehlmann - Tyll - 001 (07624-07914).mp3;7624;7914;290;121627;und dem zauberer horridus und dem dr faust und dem helden gawain von der runden tafel und eben von ihm;und dem zauberer horridus und dem dr faust und dem helden gawain von der runden tafel und eben von ihm;train9;1000
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 001.mp3;Daniel Kehlmann - Tyll - 001 (07937-08089).mp3;7937;8089;143;60605;till ulenspiegel der jetzt selbst zu uns gekommen war;till ulenspiegel der jetzt selbst zu uns gekommen war;train7;30201
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 001.mp3;Daniel Kehlmann - Tyll - 001 (08128-08410).mp3;8128;8410;277;116612;wir kannten sein geschecktes wams wir kannten die zerbeulte kapuze und den mantel aus kalbsfell wir kannten sein hageres gesicht;wir kannten sein geschecktes wams wir kannten die zerbeulte kapuze und den mantel aus kalbsfell wir kannten sein hageres gesicht;train7;10003
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 001.mp3;Daniel Kehlmann - Tyll - 001 (08424-08489).mp3;8424;8489;65;27586;die kleinen augen;die kleinen augen;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 001.mp3;Daniel Kehlmann - Tyll - 001 (08501-08610).mp3;8501;8610;109;45976;die hohlen wangen und die hasenzähne;die hohlen wangen und die hasenzähne;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 001.mp3;Daniel Kehlmann - Tyll - 001 (08654-08720).mp3;8654;8720;66;28004;seine hose war aus gutem stoff;seine hose war aus gutem stoff;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 001.mp3;Daniel Kehlmann - Tyll - 001 (08728-08848).mp3;8728;8848;120;50574;die schuhe aus feinem leder seine hände aber;die schuhe aus feinem leder seine hände aber;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 001.mp3;Daniel Kehlmann - Tyll - 001 (08867-08932).mp3;8867;8932;65;27586;waren diebes;waren diebes;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 001.mp3;Daniel Kehlmann - Tyll - 001 (08938-09003).mp3;8938;9003;65;27586;oder schreiberhände;oder schreiberhände;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 001.mp3;Daniel Kehlmann - Tyll - 001 (09006-09071).mp3;9006;9071;65;27586;die nie gearbeitet hatten;die nie gearbeitet hatten;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 001.mp3;Daniel Kehlmann - Tyll - 001 (09083-09168).mp3;9083;9168;85;35945;die rechte hielt die zügel die linke die peitsche;die rechte hielt die zügel die linke die peitsche;train7;100
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 001.mp3;Daniel Kehlmann - Tyll - 001 (09216-09318).mp3;9216;9318;102;43050;seine augen blitzten er grüßte hierhin und dorthin;seine augen blitzten er grüßte hierhin und dorthin;train7;10101
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 001.mp3;Daniel Kehlmann - Tyll - 001 (09358-09423).mp3;9358;9423;65;27586;und wie heißt du;und wie heißt du;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 001.mp3;Daniel Kehlmann - Tyll - 001 (09422-09487).mp3;9422;9487;65;27586;fragte er ein mädchen;fragte er ein mädchen;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 001.mp3;Daniel Kehlmann - Tyll - 001 (09520-09801).mp3;9520;9801;266;112014;die kleine schwieg denn sie begriff nicht wie es sein konnte dass einer der berühmt war mit ihr sprach na sag es;die kleine schwieg denn sie begriff nicht wie es sein konnte dass einer der berühmt war mit ihr sprach na sag es;train7;10100
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 001.mp3;Daniel Kehlmann - Tyll - 001 (09809-09948).mp3;9809;9948;139;58515;als sie stockend herausgebracht hatte dass sie martha hieß;als sie stockend herausgebracht hatte dass sie martha hieß;train7;100
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 001.mp3;Daniel Kehlmann - Tyll - 001 (09947-10063).mp3;9947;10063;116;48902;lächelte er nur als hätte er das schon immer gewusst;lächelte er nur als hätte er das schon immer gewusst;train9;101000
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 001.mp3;Daniel Kehlmann - Tyll - 001 (10096-10243).mp3;10096;10243;147;61858;dann fragte er mit einer aufmerksamkeit als wäre es ihm wichtig;dann fragte er mit einer aufmerksamkeit als wäre es ihm wichtig;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 001.mp3;Daniel Kehlmann - Tyll - 001 (10259-10324).mp3;10259;10324;65;27586;und wie alt bist du;und wie alt bist du;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 001.mp3;Daniel Kehlmann - Tyll - 001 (10336-10424).mp3;10336;10424;88;37199;sie räusperte sich und sagte es ihm;sie räusperte sich und sagte es ihm;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 001.mp3;Daniel Kehlmann - Tyll - 001 (10452-10656).mp3;10452;10656;204;85682;in den zwölf jahren ihres lebens hatte sie nicht augen gesehen wie seine augen wie diese;in den zwölf jahren ihres lebens hatte sie nicht augen gesehen wie seine augen wie diese;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 001.mp3;Daniel Kehlmann - Tyll - 001 (10664-10950).mp3;10664;10950;286;119955;mochte es in den freien städten des reichs geben und an den höfen der großen aber noch nie war einer der solche augen hatte zu uns gekommen;mochte es in den freien städten des reichs geben und an den höfen der großen aber noch nie war einer der solche augen hatte zu uns gekommen;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 001.mp3;Daniel Kehlmann - Tyll - 001 (10972-11057).mp3;10972;11057;85;35945;martha hatte nicht gewusst dass solche kraft solche;martha hatte nicht gewusst dass solche kraft solche;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 001.mp3;Daniel Kehlmann - Tyll - 001 (11059-11231).mp3;11059;11231;169;71472;behändigkeit der seele aus einem menschengesicht sprechen konnten;behändigkeit der seele aus einem menschengesicht sprechen konnten;train7;1
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 001.mp3;Daniel Kehlmann - Tyll - 001 (11274-11684).mp3;11274;11684;407;170946;dereinst würde sie ihrem mann und noch viel später ihren ungläubigen enkeln die den ulenspiegel für eine figur alter sagen hielten erzählen dass sie ihn selbst gesehen hatte;dereinst würde sie ihrem mann und noch viel später ihren ungläubigen enkeln die den ulenspiegel für eine figur alter sagen hielten erzählen dass sie ihn selbst gesehen hatte;train7;10101
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 002.mp3;Daniel Kehlmann - Tyll - 002 (00027-00292).mp3;27;292;265;111178;schon war der wagen vorbeigerollt schon war sein blick anderswohin geglitten zu anderen am straßenrand till ist gekommen;schon war der wagen vorbeigerollt schon war sein blick anderswohin geglitten zu anderen am straßenrand till ist gekommen;train9;1
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 002.mp3;Daniel Kehlmann - Tyll - 002 (00295-00407).mp3;295;407;112;47230;rief es wieder an der straße und till ist hier;rief es wieder an der straße und till ist hier;train9;10000
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 002.mp3;Daniel Kehlmann - Tyll - 002 (00425-00669).mp3;425;669;239;100729;aus den fenstern und der till ist da vom kirchplatz auf den nun sein wagen rollte;aus den fenstern und der till ist da vom kirchplatz auf den nun sein wagen rollte;train7;5
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 002.mp3;Daniel Kehlmann - Tyll - 002 (00695-00823).mp3;695;823;128;53917;er ließ die peitsche knallen und stand auf blitzschnell;er ließ die peitsche knallen und stand auf blitzschnell;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 002.mp3;Daniel Kehlmann - Tyll - 002 (00823-00888).mp3;823;888;65;27586;wurde der wagen zur bühne;wurde der wagen zur bühne;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 002.mp3;Daniel Kehlmann - Tyll - 002 (00902-01147).mp3;902;1147;245;102818;die zwei frauen falteten das zelt die junge band ihre haare zu einem knoten setzte ein krönchen auf;die zwei frauen falteten das zelt die junge band ihre haare zu einem knoten setzte ein krönchen auf;train7;2
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 002.mp3;Daniel Kehlmann - Tyll - 002 (01152-01250).mp3;1152;1250;98;41378;warf sich ein stück purpurstoff um;warf sich ein stück purpurstoff um;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 002.mp3;Daniel Kehlmann - Tyll - 002 (01276-01440).mp3;1276;1440;164;68964;die alte stellte sich vor den wagen erhob die stimme und begann einen leiergesang;die alte stellte sich vor den wagen erhob die stimme und begann einen leiergesang;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 002.mp3;Daniel Kehlmann - Tyll - 002 (01454-01688).mp3;1454;1688;218;91952;ihr dialekt klang nach dem süden nach den großen städten bayerns und war nicht leicht zu verstehen;ihr dialekt klang nach dem süden nach den großen städten bayerns und war nicht leicht zu verstehen;train7;1
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 002.mp3;Daniel Kehlmann - Tyll - 002 (01702-01907).mp3;1702;1907;205;86100;aber wir bekamen doch mit dass es um eine frau und einen mann ging die einander liebten;aber wir bekamen doch mit dass es um eine frau und einen mann ging die einander liebten;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 002.mp3;Daniel Kehlmann - Tyll - 002 (01906-02058).mp3;1906;2058;152;63948;und nicht zueinanderkonnten weil ein gewässer sie trennte;und nicht zueinanderkonnten weil ein gewässer sie trennte;train7;10000
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 002.mp3;Daniel Kehlmann - Tyll - 002 (02092-02611).mp3;2092;2611;505;212324;till ulenspiegel nahm ein blaues tuch kniete sich hin schleuderte es eine seite festhaltend von sich sodass es sich knatternd entrollte er zog es zurück und schleuderte es wieder weg zog es zurück schleuderte es;till ulenspiegel nahm ein blaues tuch kniete sich hin schleuderte es eine seite festhaltend von sich sodass es sich knatternd entrollte er zog es zurück und schleuderte es wieder weg zog es zurück schleuderte es;train7;10011
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 002.mp3;Daniel Kehlmann - Tyll - 002 (02612-02693).mp3;2612;2693;81;34273;und wie er auf der einen und;und wie er auf der einen und;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 002.mp3;Daniel Kehlmann - Tyll - 002 (02692-02795).mp3;2692;2795;103;43468;die frau auf der anderen seite kniete;die frau auf der anderen seite kniete;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 002.mp3;Daniel Kehlmann - Tyll - 002 (02794-02981).mp3;2794;2981;187;78577;und das blau zwischen ihnen wogte schien da wirklich wasser zu sein;und das blau zwischen ihnen wogte schien da wirklich wasser zu sein;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 002.mp3;Daniel Kehlmann - Tyll - 002 (03022-03201).mp3;3022;3201;179;75233;und die wellen gingen derart wild auf und nieder als könnte kein schiff sie befahren;und die wellen gingen derart wild auf und nieder als könnte kein schiff sie befahren;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 002.mp3;Daniel Kehlmann - Tyll - 002 (03242-03418).mp3;3242;3418;176;73979;als die frau sich aufrichtete und mit schreckensstarrem gesicht auf die wogen sah;als die frau sich aufrichtete und mit schreckensstarrem gesicht auf die wogen sah;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 002.mp3;Daniel Kehlmann - Tyll - 002 (03434-03538).mp3;3434;3538;104;43886;bemerkten wir mit einem mal wie schön sie war;bemerkten wir mit einem mal wie schön sie war;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 002.mp3;Daniel Kehlmann - Tyll - 002 (03580-03761).mp3;3580;3761;181;76069;während sie da stand und die arme zum himmel streckte gehörte sie plötzlich nicht mehr hierher;während sie da stand und die arme zum himmel streckte gehörte sie plötzlich nicht mehr hierher;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 002.mp3;Daniel Kehlmann - Tyll - 002 (03776-03876).mp3;3776;3876;100;42214;und keiner von uns vermochte den blick von ihr zu wenden;und keiner von uns vermochte den blick von ihr zu wenden;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 002.mp3;Daniel Kehlmann - Tyll - 002 (03906-04353).mp3;3906;4353;447;187246;nur aus dem augenwinkel sahen wir ihren geliebten springen und tanzen und fuhrwerken und sein schwert schwingen und mit drachen und feinden und hexen und bösen königen kämpfen auf dem schweren weg;nur aus dem augenwinkel sahen wir ihren geliebten springen und tanzen und fuhrwerken und sein schwert schwingen und mit drachen und feinden und hexen und bösen königen kämpfen auf dem schweren weg;train7;200
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 002.mp3;Daniel Kehlmann - Tyll - 002 (04364-04429).mp3;4364;4429;65;27586;zu ihr;zu ihr;train;0
Daniel Kehlmann;Ulrich Noethen;Tyll;Daniel Kehlmann - Tyll - 002.mp3;Daniel Kehlmann - Tyll - 002 (04442-04518).mp3;4442;4518;76;32183;das stück dauerte bis in den nachmittag;das stück dauerte bis in den nachmittag;train;0
